id,name,location,city_slug,address,phone,website,rating,pincode,image_url,property_type,active,google_cid,google_review_count,google_summary,gmb_link,hotelzz_link
arcoiris---goa-684571,Arcoiris - Goa,Panaji,panaji,"Flat No, Mandovi Valley View, B/509/FF-1, Shantadurga Nagar, Ram Nagar, Bardez, Alto- Betim Porvorim, Panaji, Nerul, Goa 403101",098224 43003,,5.0,403101,,,yes,9342594919630684571,196,"Travellers praise the warm hospitality, comfortable beds and value for money. Strong location scores.",https://www.google.com/maps?cid=9342594919630684571,https://hotelzz.in/property.html?id=arcoiris---goa-684571
staymaster-sea-la-vie-nerul-goa-252004,"Staymaster Sea La Vie, Nerul, Goa",Panaji,panaji,"Villa C1 and C2, Three Kings Resort, Nerul, Goa 403109",092269 34609,https://thestaymaster.com/,4.5,403109,,,yes,17129889357259252004,150,"Travellers appreciate the cosy ambience, local recommendations from hosts and fast WiFi.",https://www.google.com/maps?cid=17129889357259252004,https://hotelzz.in/property.html?id=staymaster-sea-la-vie-nerul-goa-252004
staymaster-229902,Staymaster,Panaji,panaji,"91 Springboard, Shanta Building, St. Inez, Santa Inez, Panaji, Goa 403001",082407 72024,https://thestaymaster.com/home,4.8,403001,,,yes,8246620647968229902,649,"Travellers appreciate the cosy ambience, local recommendations from hosts and fast WiFi.",https://www.google.com/maps?cid=8246620647968229902,https://hotelzz.in/property.html?id=staymaster-229902
dadu-bharne-heritage-home-812144,Dadu Bharne Heritage Home,Panaji,panaji,"Besides Wisdom Hospital, Dr Dada Vaidya Rd, Panaji, Goa 403001",,,5.0,403001,,,yes,7050119757860812144,652,"Travellers praise the warm hospitality, comfortable beds and value for money. Strong location scores.",https://www.google.com/maps?cid=7050119757860812144,https://hotelzz.in/property.html?id=dadu-bharne-heritage-home-812144
penthouse-by-goa-signature-stays-510403,Penthouse by Goa Signature Stays,Panaji,panaji,"Plot No. 150, Ashok Beleza, Alto- Betim Porvorim, Reis Magos, Porvorim, Goa 403101",,https://goasignaturestays.com/penthouse-goastays/,5.0,403101,,,no,16586244831577510403,239,"A reliable stay with helpful hosts, modern amenities and easy access to local attractions.",https://www.google.com/maps?cid=16586244831577510403,https://hotelzz.in/property.html?id=penthouse-by-goa-signature-stays-510403
vista-bellaire---2-bhk-service-apt-570275,Vista Bellaire - 2 BHK Service Apt,Panaji,panaji,"Dr E Borges Rd, Durgavado, Goa 403004",,https://metronomehospitality.com/,4.9,403004,,,yes,8955507343636570275,613,"Travellers praise the warm hospitality, comfortable beds and value for money. Strong location scores.",https://www.google.com/maps?cid=8955507343636570275,https://hotelzz.in/property.html?id=vista-bellaire---2-bhk-service-apt-570275
rr-hospitality-goa-586365,RR Hospitality. Goa,Panaji,panaji,"GV27+469, Ilhas, Ribandar, Goa 403006",,,4.8,403006,,,yes,2699985811769586365,711,"Travellers appreciate the cosy ambience, local recommendations from hosts and fast WiFi.",https://www.google.com/maps?cid=2699985811769586365,https://hotelzz.in/property.html?id=rr-hospitality-goa-586365
villa-khatun-guest-house-169150,Villa Khatun Guest House,Panaji,panaji,"Chemist, Mala Portias Near Bambolkar Building, opposite Cleona, Panaji, Goa 403001",095614 03653,https://sites.google.com/view/roomsandstaysgoa/guesthouses/villa-khatun,4.5,403001,,,yes,8707401343148169150,245,"Guests highlight clean rooms, friendly hosts and great location. A consistent favourite for repeat visitors.",https://www.google.com/maps?cid=8707401343148169150,https://hotelzz.in/property.html?id=villa-khatun-guest-house-169150
bis-lin-home-stay-373538,Bis-LIN Home Stay,Panaji,panaji,"Bis-Lin, 14 La campal hsg colony, Miramar, Panjim 1 st Left behind Magsons, Supermarket, 4th Villa on left, Panaji, Goa 403001",098223 83557,,4.5,403001,,,yes,12933373647463373538,122,"Travellers praise the warm hospitality, comfortable beds and value for money. Strong location scores.",https://www.google.com/maps?cid=12933373647463373538,https://hotelzz.in/property.html?id=bis-lin-home-stay-373538
northern-hillycrest--near-coco-beach-945367,Northern Hillycrest- Near Coco Beach,Panaji,panaji,"Northern Hillycrest House, M/s, Coco Beach Road, Fattawado, Nerul, Goa 403114",088303 38615,,4.5,403114,,,yes,5068256866137945367,265,"A reliable stay with helpful hosts, modern amenities and easy access to local attractions.",https://www.google.com/maps?cid=5068256866137945367,https://hotelzz.in/property.html?id=northern-hillycrest--near-coco-beach-945367
house-of-ma-784054,House Of Ma,Calangute,calangute,"House Of Ma, Calangute, Goa 403516",,,4.7,403516,,,yes,15186010000344784054,325,"Guests highlight clean rooms, friendly hosts and great location. A consistent favourite for repeat visitors.",https://www.google.com/maps?cid=15186010000344784054,https://hotelzz.in/property.html?id=house-of-ma-784054
dsouza-villas-only-on-airbnb-147241,Dsouza Villas only on Airbnb,Calangute,calangute,"Gauravaddo, Arpora, Calangute, Goa 403515",078388 70883,https://air.tl/2XU1adhP,5.0,403515,,,yes,69104100449147241,418,"Travellers appreciate the cosy ambience, local recommendations from hosts and fast WiFi.",https://www.google.com/maps?cid=69104100449147241,https://hotelzz.in/property.html?id=dsouza-villas-only-on-airbnb-147241
the-eternal-wave-by-krish-retreat-calangute-goa-437408,"The Eternal Wave by Krish Retreat, Calangute, Goa",Calangute,calangute,"HQ27+58R, 227, Porbo Vaddo, Khobra Waddo, Calangute, Goa 403516",088053 99652,http://www.eternalwave.in/,4.5,403516,,,yes,15293207580566437408,263,"Guests highlight clean rooms, friendly hosts and great location. A consistent favourite for repeat visitors.",https://www.google.com/maps?cid=15293207580566437408,https://hotelzz.in/property.html?id=the-eternal-wave-by-krish-retreat-calangute-goa-437408
casa-via---calangute-801195,Casa Via - Calangute,Calangute,calangute,"2nd Floor, Mariano Gracinda Residency, G-204, behind Neelam's The Glitz, Calangute, Goa 403516",,,4.0,403516,,,yes,17238335415716801195,161,"A reliable stay with helpful hosts, modern amenities and easy access to local attractions.",https://www.google.com/maps?cid=17238335415716801195,https://hotelzz.in/property.html?id=casa-via---calangute-801195
amor-luxe-suites-goa-calangute-358778,Amor Luxe Suites goa Calangute,Calangute,calangute,"Flat no 206,Greenambit the calissa, Dongorpur, Calangute, Goa 403516",098604 34019,,4.9,403516,,,yes,1894744932673358778,585,"Guests highlight clean rooms, friendly hosts and great location. A consistent favourite for repeat visitors.",https://www.google.com/maps?cid=1894744932673358778,https://hotelzz.in/property.html?id=amor-luxe-suites-goa-calangute-358778
casa-cubo-by-the-beach-939403,Casa Cubo By The Beach,Calangute,calangute,"H.no, 6/257A, Calangute - Baga road, Khobra Vaddo, Calangute, Goa 403516",077750 70917,,4.5,403516,,,yes,5059319502143939403,180,"Frequently mentioned: spotless rooms, attentive staff and excellent breakfast. Solid pick for couples and families.",https://www.google.com/maps?cid=5059319502143939403,https://hotelzz.in/property.html?id=casa-cubo-by-the-beach-939403
cozy-den-goa-through-airbnb-115842,"Cozy Den, Goa (through Airbnb)",Calangute,calangute,"Cozy Den, Kamat Holiday Homes, Gauravaddo, Phase 1, Calangute, Goa 403516",,,4.5,403516,,,yes,3445716256852115842,231,"Guests love the peaceful setting, well-maintained property and quick host responsiveness.",https://www.google.com/maps?cid=3445716256852115842,https://hotelzz.in/property.html?id=cozy-den-goa-through-airbnb-115842
casa-de-laura-631241,Casa de laura,Calangute,calangute,"Gauravaddo, Calangute, Goa 403516",096895 38671,http://www.casalaura.in/,4.5,403516,,,yes,2676542402266631241,214,"Travellers appreciate the cosy ambience, local recommendations from hosts and fast WiFi.",https://www.google.com/maps?cid=2676542402266631241,https://hotelzz.in/property.html?id=casa-de-laura-631241
tranquil-stays-service-apartment-900076,Tranquil Stays Service Apartment,Calangute,calangute,"Phase 1, Bldg no. 11, Kamat Holiday Homes, S1/2, Gauravaddo, Calangute, bardez, Goa 403516",092842 20324,https://www.instagram.com/tranquilstays_?igsh=d2dwbWVhN3N6ZG9v,4.9,403516,,,yes,6466142922674900076,317,"Frequently mentioned: spotless rooms, attentive staff and excellent breakfast. Solid pick for couples and families.",https://www.google.com/maps?cid=6466142922674900076,https://hotelzz.in/property.html?id=tranquil-stays-service-apartment-900076
d-beach-villa---calangute-goa-172913,D’ Beach Villa - Calangute Goa,Calangute,calangute,"Golden Beach Road, Maddo Waddo, Calangute, Goa 403516",099233 98887,,5.0,403516,,,yes,6835926866331172913,237,"Travellers praise the warm hospitality, comfortable beds and value for money. Strong location scores.",https://www.google.com/maps?cid=6835926866331172913,https://hotelzz.in/property.html?id=d-beach-villa---calangute-goa-172913
shalala-residency-045400,Shalala Residency,Calangute,calangute,"1/288 D, Gauravaddo (W), Nossa Senhora De Piedade Chapel, Lane, Calangute Candolim Sinquerim Rd, Calangute, Goa 403515",089837 31128,,4.8,403515,,,yes,8387018450381045400,640,"Guests love the peaceful setting, well-maintained property and quick host responsiveness.",https://www.google.com/maps?cid=8387018450381045400,https://hotelzz.in/property.html?id=shalala-residency-045400
affordable-stay-airbnb-744888,Affordable Stay Airbnb,Calangute,calangute,"HQ23+XMH, Calangute - Baga Rd, next to Fahrenheit Hotel, Khobra Waddo, Baga, Calangute, Goa 403516",,,5.0,403516,,,yes,11211205746774744888,449,"Frequently mentioned: spotless rooms, attentive staff and excellent breakfast. Solid pick for couples and families.",https://www.google.com/maps?cid=11211205746774744888,https://hotelzz.in/property.html?id=affordable-stay-airbnb-744888
sun-blazer-holiday-home-best-and-safest-guest-house-home-sta-414836,"Sun Blazer Holiday Home , best and safest guest house / Home stay in Calangute, North Goa",Calangute,calangute,"E/5 128-A, Near Calangute Beach, Umta Vaddo, Calangute, Goa 403516",093560 15751,,4.5,403516,,,yes,9826152602911414836,320,"Travellers praise the warm hospitality, comfortable beds and value for money. Strong location scores.",https://www.google.com/maps?cid=9826152602911414836,https://hotelzz.in/property.html?id=sun-blazer-holiday-home-best-and-safest-guest-house-home-sta-414836
mapleleaf-residency-homes-calangute-goa-655514,"Mapleleaf Residency Homes, Calangute-Goa",Calangute,calangute,"near St. Alex Church, Naika Vaddo, Calangute, Goa 403516",098907 08660,,4.5,403516,,,yes,5643346580928655514,315,"A reliable stay with helpful hosts, modern amenities and easy access to local attractions.",https://www.google.com/maps?cid=5643346580928655514,https://hotelzz.in/property.html?id=mapleleaf-residency-homes-calangute-goa-655514
demellow-guest-house-890863,Demellow Guest House,Calangute,calangute,"Escrivao Vaddo, St Judes Chapel Road,behind Diago Villa, Candolim, Goa 403515",098203 45133,,4.7,403515,,,yes,8666380554467890863,265,"Recurring praise for clean linens, hot water round-the-clock and central location. Good for short trips.",https://www.google.com/maps?cid=8666380554467890863,https://hotelzz.in/property.html?id=demellow-guest-house-890863
parth-homes-and-apartment-842688,PARTH HOMES AND APARTMENT,Calangute,calangute,"Flat No. R-101 Saldanha, Kieran Park, Complex, Naika waddo, near ST. Alex Church, Calangute, Goa 403516",077988 73366,,4.8,403516,,,yes,10088134216710842688,734,"Travellers praise the warm hospitality, comfortable beds and value for money. Strong location scores.",https://www.google.com/maps?cid=10088134216710842688,https://hotelzz.in/property.html?id=parth-homes-and-apartment-842688
villa-c7-airbnb-631029,Villa C7 (AirBnB),Calangute,calangute,"GQM6+QV2, Calangute, Goa 403516",,,5.0,403516,,,yes,2775751083657631029,277,"Travellers praise the warm hospitality, comfortable beds and value for money. Strong location scores.",https://www.google.com/maps?cid=2775751083657631029,https://hotelzz.in/property.html?id=villa-c7-airbnb-631029
302-casa-stay-389108,302 Casa stay,Calangute,calangute,"Saunta Vaddo, Baga, Calangute, Goa 403516",098716 97565,,4.1,403516,,,yes,12655945914251389108,78,"Guests highlight clean rooms, friendly hosts and great location. A consistent favourite for repeat visitors.",https://www.google.com/maps?cid=12655945914251389108,https://hotelzz.in/property.html?id=302-casa-stay-389108
villa-de-lourdes-airbnb-645834,Villa de Lourdes airbnb,Calangute,calangute,"H/No E6-223A, Khobro Vaddo, Calangute - Baga Rd, opp. Casa Goana Restaurant, Close to Our Lady of Piety, Bardez, Goa 403516",,,4.7,403516,,,yes,5286304098172645834,147,"A reliable stay with helpful hosts, modern amenities and easy access to local attractions.",https://www.google.com/maps?cid=5286304098172645834,https://hotelzz.in/property.html?id=villa-de-lourdes-airbnb-645834
remy-guest-house-714699,Remy Guest House,Calangute,calangute,"H No, 3/38, Tivai Vaddo, Calangute, Goa 403516",098506 37662,,4.5,403516,,,yes,13771642451791714699,203,"Highlights include the rooftop area, ample parking and friendly vibe. Repeat guests common.",https://www.google.com/maps?cid=13771642451791714699,https://hotelzz.in/property.html?id=remy-guest-house-714699
baga-chimes-goa-892822,Baga Chimes Goa,Baga,baga,"House number 452, Baga River Creek Side, st Ann's chapel, Baga, Calangute, Goa 403509",,,4.4,403509,,,yes,11500921410079892822,147,"Travellers appreciate the cosy ambience, local recommendations from hosts and fast WiFi.",https://www.google.com/maps?cid=11500921410079892822,https://hotelzz.in/property.html?id=baga-chimes-goa-892822
the-big-chill-villa-617235,The Big Chill Villa,Baga,baga,"House No 520, River View Landmark:, 9/V2, Calangute - Baga Rd, near La Sunila Suites, Arpora, Baga, Goa 403509",088066 25000,http://www.jaqkholidays.com/,4.5,403509,,,yes,8507892165241617235,345,"Recurring praise for clean linens, hot water round-the-clock and central location. Good for short trips.",https://www.google.com/maps?cid=8507892165241617235,https://hotelzz.in/property.html?id=the-big-chill-villa-617235
acronbnb-goa---seawinds-rental-065311,Acronbnb Goa - Seawinds Rental,Baga,baga,"Agar Vaddo, Khobra Waddo, Calangute, Goa 403516",092090 02960,https://acronbnbgoa.com/,4.2,403516,,,yes,15099938848463065311,141,"Highlights include the rooftop area, ample parking and friendly vibe. Repeat guests common.",https://www.google.com/maps?cid=15099938848463065311,https://hotelzz.in/property.html?id=acronbnb-goa---seawinds-rental-065311
baga-cottages---2-min-walk-to-baga-beach-017843,BAGA COTTAGES - 2 Min walk to Baga Beach,Baga,baga,"Calangute - Baga Rd, Baga, Calangute, Goa 403516",,,4.2,403516,,,yes,3110983492575017843,40,"Highlights include the rooftop area, ample parking and friendly vibe. Repeat guests common.",https://www.google.com/maps?cid=3110983492575017843,https://hotelzz.in/property.html?id=baga-cottages---2-min-walk-to-baga-beach-017843
baga-airbnb-869334,Baga Airbnb,Baga,baga,"HQ54+W2V, Baga, Calangute, Goa 403516",,,5.0,403516,,,yes,18093837614998869334,565,"Recurring praise for clean linens, hot water round-the-clock and central location. Good for short trips.",https://www.google.com/maps?cid=18093837614998869334,https://hotelzz.in/property.html?id=baga-airbnb-869334
serenity-abode-577389,Serenity Abode,Baga,baga,"Villa Vera Complex, Magdalena Court, Arpora, Goa 403516",,,4.9,403516,,,yes,8905887473705577389,338,"Guests love the peaceful setting, well-maintained property and quick host responsiveness.",https://www.google.com/maps?cid=8905887473705577389,https://hotelzz.in/property.html?id=serenity-abode-577389
ivy-retreat-726548,Ivy Retreat,Baga,baga,"Baga Calangute Rd, behind The Camelot Resort, Calangute, Goa 403516",081039 00900,http://www.hnhhomes.in/,4.5,403516,,,yes,8063789122632726548,111,"A reliable stay with helpful hosts, modern amenities and easy access to local attractions.",https://www.google.com/maps?cid=8063789122632726548,https://hotelzz.in/property.html?id=ivy-retreat-726548
eternal-stays-542871,ETERNAL STAYS,Baga,baga,"ACRON SEAWINDS, Khobra Waddo, Calangute, Goa 403516",077383 30928,,5.0,403516,,,yes,16791796257136542871,539,"Frequently mentioned: spotless rooms, attentive staff and excellent breakfast. Solid pick for couples and families.",https://www.google.com/maps?cid=16791796257136542871,https://hotelzz.in/property.html?id=eternal-stays-542871
jenvin-luxury-homes-217247,JenVin Luxury Homes,Baga,baga,"Acron Seawinds, Baga, Calangute, Goa 403516",073046 64694,https://jenvin.co.in/,4.9,403516,,,yes,4403814074216217247,203,"A reliable stay with helpful hosts, modern amenities and easy access to local attractions.",https://www.google.com/maps?cid=4403814074216217247,https://hotelzz.in/property.html?id=jenvin-luxury-homes-217247
pranaam---welcome-to-your-cosy-home-in-goa-942096,Pranaam - Welcome to Your Cosy Home in Goa.,Baga,baga,"Areia de Goa, Opp Riviera Palms 1. Near Arpora Wax Museum & Arpora Panchayat, Arpora, Bardez, North Goa : 403516, near wax museum, Arpora, Calangute, Goa 403516",098202 10861,,4.8,403516,,,yes,7744029947853942096,306,"Travellers praise the warm hospitality, comfortable beds and value for money. Strong location scores.",https://www.google.com/maps?cid=7744029947853942096,https://hotelzz.in/property.html?id=pranaam---welcome-to-your-cosy-home-in-goa-942096
the-amigos-goa-villa-810146,The Amigos Goa Villa,Baga,baga,"Arpora, Goa 403516",097173 93967,,4.8,403516,,,yes,9188170305671810146,756,"Guests love the peaceful setting, well-maintained property and quick host responsiveness.",https://www.google.com/maps?cid=9188170305671810146,https://hotelzz.in/property.html?id=the-amigos-goa-villa-810146
baga-deep-apartment-604178,Baga Deep Apartment,Baga,baga,"Marine resort, Baga Deep Apartment, near Baga, Saunta Vaddo, Baga, Calangute, Goa 403516",,,4.4,403516,,,yes,17069018102297604178,189,"Highlights include the rooftop area, ample parking and friendly vibe. Repeat guests common.",https://www.google.com/maps?cid=17069018102297604178,https://hotelzz.in/property.html?id=baga-deep-apartment-604178
absinthe-casa-057283,Absinthe Casa,Baga,baga,"3UG1, Acron Seawinds, Baga, Calangute, Goa 403516",,,4.9,403516,,,yes,10430266118715057283,202,"Recurring praise for clean linens, hot water round-the-clock and central location. Good for short trips.",https://www.google.com/maps?cid=10430266118715057283,https://hotelzz.in/property.html?id=absinthe-casa-057283
mystic-homestay-goa-near-double-tree-hilton-available-for-bu-974213,"Mystic Homestay Goa near Double Tree Hilton | Available for Budget stay near Baga, Calangute & Anjuna",Baga,baga,"House No. BS 2215 , 2nd Floor, Riviera Foothills Rd, apartments, Arpora, Goa 403516",098182 64792,https://renthomestay.com/listing/insta-worthy-1-bhk-apt-with-pool-wifi-near-baga/,4.9,403516,,,yes,9174421692658974213,281,"Highlights include the rooftop area, ample parking and friendly vibe. Repeat guests common.",https://www.google.com/maps?cid=9174421692658974213,https://hotelzz.in/property.html?id=mystic-homestay-goa-near-double-tree-hilton-available-for-bu-974213
the-baga-beach-holiday-459507,THE BAGA BEACH HOLIDAY,Baga,baga,"Calangute - Baga Rd, near LA Calypso, Saunta Vaddo, Calangute, Baga, Goa 403516",079838 58293,,4.5,403516,,,yes,14094756370874459507,139,"Guests love the peaceful setting, well-maintained property and quick host responsiveness.",https://www.google.com/maps?cid=14094756370874459507,https://hotelzz.in/property.html?id=the-baga-beach-holiday-459507
casaflip-goa-431894,CasaFlip Goa,Anjuna,anjuna,"Charvi Reemz, opp. Oxford Arcade, Starco Junction, Dmello Vaddo, Anjuna, Goa 403509",098904 76980,http://casaflip.in/,4.9,403509,,,yes,16104847571285431894,662,"Travellers praise the warm hospitality, comfortable beds and value for money. Strong location scores.",https://www.google.com/maps?cid=16104847571285431894,https://hotelzz.in/property.html?id=casaflip-goa-431894
xaviers-guest-house-096554,Xavier's Guest House,Anjuna,anjuna,"Monteiro Vaddo, Anjuna, Goa 403509",099231 33200,,4.5,403509,,,yes,14062572628918096554,217,"Travellers praise the warm hospitality, comfortable beds and value for money. Strong location scores.",https://www.google.com/maps?cid=14062572628918096554,https://hotelzz.in/property.html?id=xaviers-guest-house-096554
alpha-stays-goa-972218,Alpha Stays Goa,Anjuna,anjuna,"apt. 104, building 14, Charvi reemz society, opposite Oxford arcade, Anjuna, Goa 403509",099997 31313,,4.9,403509,,,yes,6325109227023972218,341,"Travellers appreciate the cosy ambience, local recommendations from hosts and fast WiFi.",https://www.google.com/maps?cid=6325109227023972218,https://hotelzz.in/property.html?id=alpha-stays-goa-972218
the-pause-project-919700,The Pause Project,Anjuna,anjuna,"House No. 66/B(P), Opposite Candlelight Restaurant, Wadi, Siolim, Goa, 403517",,http://instagram.com/thepauseprojectgoa,4.5,403517,,,yes,912778695317919700,280,"Frequently mentioned: spotless rooms, attentive staff and excellent breakfast. Solid pick for couples and families.",https://www.google.com/maps?cid=912778695317919700,https://hotelzz.in/property.html?id=the-pause-project-919700
luxury-homes-by-affcasa-295661,Luxury Homes by Affcasa,Anjuna,anjuna,"Tower 14, Flat no, 002/14, Starco Junction, Anjuna, Goa 403509",080065 68000,http://affcasaluxury.com/,4.9,403509,,,yes,12563419739113295661,545,"Recurring praise for clean linens, hot water round-the-clock and central location. Good for short trips.",https://www.google.com/maps?cid=12563419739113295661,https://hotelzz.in/property.html?id=luxury-homes-by-affcasa-295661
casa-fredna-908672,CASA FREDNA,Anjuna,anjuna,"Mazal Waddo, Anjuna, Goa 403509",096195 97664,,4.4,403509,,,yes,9596318719029908672,184,"Frequently mentioned: spotless rooms, attentive staff and excellent breakfast. Solid pick for couples and families.",https://www.google.com/maps?cid=9596318719029908672,https://hotelzz.in/property.html?id=casa-fredna-908672
genesis-leisure---goa-816034,Genesis Leisure - Goa,Anjuna,anjuna,"Emerald Isles (Apeksha Homes, P-5, Freitas Vaddo, opp. Tuff Security Training School, near Krishna Wadi, Verla Canca, Verla, Goa 403510",091464 36757,http://www.genesisgoa.com/,4.9,403510,,,yes,12657122434060816034,247,"Highlights include the rooftop area, ample parking and friendly vibe. Repeat guests common.",https://www.google.com/maps?cid=12657122434060816034,https://hotelzz.in/property.html?id=genesis-leisure---goa-816034
homeforawhile-goa-028977,HomeForAWhile Goa,Anjuna,anjuna,"House 639, Small Vagator, Anjuna, Bardez, Goa, 403509",,,4.9,403509,,,yes,10773054910716028977,549,"Travellers appreciate the cosy ambience, local recommendations from hosts and fast WiFi.",https://www.google.com/maps?cid=10773054910716028977,https://hotelzz.in/property.html?id=homeforawhile-goa-028977
anjuna-villas-506007,Anjuna villas,Anjuna,anjuna,"Keshia holiday kottages, Bouta Waddo, Anjuna, Goa 403510",,,4.5,403510,,,yes,12743701813268506007,328,"Guests highlight clean rooms, friendly hosts and great location. A consistent favourite for repeat visitors.",https://www.google.com/maps?cid=12743701813268506007,https://hotelzz.in/property.html?id=anjuna-villas-506007
amber-luxurious-homestays-near-anjuna-beach-077230,Amber Luxurious Homestays near Anjuna beach.,Anjuna,anjuna,"Charvi reemz, near starco junction, opposite oxford arcade, Dmello Vaddo, Anjuna, Goa 403509",098912 77244,https://abnb.me/SFRNr6nxLrb,5.0,403509,,,yes,16409050238231077230,748,"Travellers praise the warm hospitality, comfortable beds and value for money. Strong location scores.",https://www.google.com/maps?cid=16409050238231077230,https://hotelzz.in/property.html?id=amber-luxurious-homestays-near-anjuna-beach-077230
charvi-reemz-anjuna-536234,"Charvi Reemz, Anjuna",Anjuna,anjuna,"HPPR+FVF, Anjuna Mapusa Rd, Dmello Vaddo, Anjuna, Goa 403509",098210 76448,http://www.charvireemz.com/,4.4,403509,,,yes,1140187494920536234,73,"Recurring praise for clean linens, hot water round-the-clock and central location. Good for short trips.",https://www.google.com/maps?cid=1140187494920536234,https://hotelzz.in/property.html?id=charvi-reemz-anjuna-536234
santana-anjuna-197153,Santana Anjuna,Anjuna,anjuna,"H.NO 1468, 5, Igreja Waddo, Bouta Waddo, Anjuna, Goa 403510",,,4.5,403510,,,yes,14549613397672197153,387,"Recurring praise for clean linens, hot water round-the-clock and central location. Good for short trips.",https://www.google.com/maps?cid=14549613397672197153,https://hotelzz.in/property.html?id=santana-anjuna-197153
